Olympiad,Year,"Host City, Country"
I,1896,"Athens, Greece"
II,1900,"Paris, France"
III,1904,"St Louis, USA"
,1906,"Athens, Greece"
IV,1908,"London, England, UK"
V,1912,"Stockholm, Sweden"
VI,1916,"Berlin, Germany (not held)"
VII,1920,"Antwerp, Belgium"
VIII,1924,"Paris, France"
IX,1928,"Amsterdam, Netherlands"
X,1932,"Los Angeles, USA"
XI,1936,"Berlin, Germany"
XII,1940,"Tokyo, Japan / Helsinki, Finland (not held)"
XIII,1944,"London, England, UK (not held)"
XIV,1948,"London, England, UK"
XV,1952,"Helsinki, Finland"
XVI,1956,"Melbourne, Australia"
XVII,1960,"Rome, Italy"
XVIII,1964,"Tokyo, Japan"
XIX,1968,"Mexico City, Mexico"
XX,1972,"Munich, Germany"
XXI,1976,"Montreal, Canada"
XXII,1980,"Moscow, USSR"
XXIII,1984,"Los Angeles, USA"
XXIV,1988,"Seoul, South Korea"
XXV,1992,"Barcelona, Spain"
XXVI,1996,"Atlanta, USA"
XXVII,2000,"Sydney, Australia"
XXVIII,2004,"Athens, Greece"
XXIX,2008,"Beijing, China"
XXX,2012,"London, England, UK"
XXXI,2016,"Rio, Brazil"
XXXII,2021,"Tokyo, Japan"
XXXIII,2024,"Paris, France"
XXXIV,2028,"Los Angeles, USA"
XXXV,2032,"Brisbane, Australia"